date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:04:21	10175/10175	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2002%20Aug%202022%2007:43:02%20GMT	https://cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-ab38017af3cf759db0af0bbd1e75229f6a189f5bf1f2db42169630998b969021.js	C:/My%20Web%20Sites/https___liquidationdeals.ca_/cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-ab38017af3cf759db0af0bbd1e75229f6a189f5bf1f2db42169630998b969021.js	(from https://liquidationdeals.ca/)
01:04:21	37632/37632	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2012%20May%202022%2001:45:15%20GMT	https://cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	C:/My%20Web%20Sites/https___liquidationdeals.ca_/cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	(from https://liquidationdeals.ca/)
01:04:22	88590/88590	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:dac6cac05bab9b1a92f4408194623449	https://liquidationdeals.ca/POST	C:/My%20Web%20Sites/https___liquidationdeals.ca_/liquidationdeals.ca/POST	(from https://liquidationdeals.ca/)
01:04:23	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Aug%202022%2000:04:23%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/shop_events_listener-65cd0ba3fcd81a1df33f2510ec5bcf8c0e0958653b50e3965ec972dd638ee13f.js	C:/My%20Web%20Sites/https___liquidationdeals.ca_/cdn.shopify.com/shopifycloud/shopify/assets/shop_events_listener-65cd0ba3fcd81a1df33f2510ec5bcf8c0e0958653b50e3965ec972dd638ee13f.js	(from https://liquidationdeals.ca/)
01:04:23	79754/79754	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2023%20Aug%202022%2020:12:16%20GMT	https://cdn.shopify.com/s/trekkie.storefront.b4cc929cccb656f473260f71b40c19ca40940b43.min.js	C:/My%20Web%20Sites/https___liquidationdeals.ca_/cdn.shopify.com/s/trekkie.storefront.b4cc929cccb656f473260f71b40c19ca40940b43.min.js	(from https://liquidationdeals.ca/)
01:04:23	8318/8318	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2008%20Aug%202022%2015:00:56%20GMT	https://cdn.shopify.com/shopifycloud/shopify/assets/shop_events_listener-65cd0ba3fcd81a1df33f2510ec5bcf8c0e0958653b50e3965ec972dd638ee13f.js	C:/My%20Web%20Sites/https___liquidationdeals.ca_/cdn.shopify.com/shopifycloud/shopify/assets/shop_events_listener-65cd0ba3fcd81a1df33f2510ec5bcf8c0e0958653b50e3965ec972dd638ee13f.js	(from https://liquidationdeals.ca/)
01:04:24	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Aug%202022%2000:04:24%20GMT	http://cdn.shopify.com/s/files/1/0266/6024/1596/files/logo-liquidationdeals.ca_a3370a3c-0214-4570-870d-51c82f075e5d_150x.jpg?v=1605752710	C:/My%20Web%20Sites/https___liquidationdeals.ca_/cdn.shopify.com/s/files/1/0266/6024/1596/files/logo-liquidationdeals.ca_a3370a3c-0214-4570-870d-51c82f075e5d_150x3566.jpg	(from https://liquidationdeals.ca/)
01:04:24	59401/59401	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2017%20Jun%202022%2016:57:24%20GMT	https://cdn.shopify.com/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	C:/My%20Web%20Sites/https___liquidationdeals.ca_/cdn.shopify.com/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	(from https://liquidationdeals.ca/)
01:04:24	4450/4450	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202022%2015:03:21%20GMT	https://cdn.shopify.com/s/files/1/0266/6024/1596/files/logo-liquidationdeals.ca_a3370a3c-0214-4570-870d-51c82f075e5d_150x.jpg?v=1605752710	C:/My%20Web%20Sites/https___liquidationdeals.ca_/cdn.shopify.com/s/files/1/0266/6024/1596/files/logo-liquidationdeals.ca_a3370a3c-0214-4570-870d-51c82f075e5d_150x3566.jpg	(from https://liquidationdeals.ca/)
01:04:25	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Aug%202022%2000:04:25%20GMT	http://cdn.shopify.com/s/files/1/0266/6024/1596/files/logo-liquidationdeals.ca_a3370a3c-0214-4570-870d-51c82f075e5d.jpg?v=1605752710	C:/My%20Web%20Sites/https___liquidationdeals.ca_/cdn.shopify.com/s/files/1/0266/6024/1596/files/logo-liquidationdeals.ca_a3370a3c-0214-4570-870d-51c82f075e5d3566.jpg	(from https://liquidationdeals.ca/)
01:04:25	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Aug%202022%2000:04:26%20GMT	http://cdn.shopify.com/s/files/1/0266/6024/1596/files/logo-liquidationdeals.ca_150x.jpg?v=1601702763	C:/My%20Web%20Sites/https___liquidationdeals.ca_/cdn.shopify.com/s/files/1/0266/6024/1596/files/logo-liquidationdeals.ca_150x56ca.jpg	(from https://liquidationdeals.ca/)
01:04:25	86647/86647	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202022%2015:34:34%20GMT	https://cdn.shopify.com/s/files/1/0266/6024/1596/files/logo-liquidationdeals.ca_a3370a3c-0214-4570-870d-51c82f075e5d.jpg?v=1605752710	C:/My%20Web%20Sites/https___liquidationdeals.ca_/cdn.shopify.com/s/files/1/0266/6024/1596/files/logo-liquidationdeals.ca_a3370a3c-0214-4570-870d-51c82f075e5d3566.jpg	(from https://liquidationdeals.ca/)
01:04:26	4450/4450	---M--	200	added ('OK')	image/jpeg	date:Sun,%2007%20Aug%202022%2001:18:23%20GMT	https://cdn.shopify.com/s/files/1/0266/6024/1596/files/logo-liquidationdeals.ca_150x.jpg?v=1601702763	C:/My%20Web%20Sites/https___liquidationdeals.ca_/cdn.shopify.com/s/files/1/0266/6024/1596/files/logo-liquidationdeals.ca_150x56ca.jpg	(from https://liquidationdeals.ca/)
01:04:26	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Aug%202022%2000:04:26%20GMT	http://cdn.shopify.com/s/files/1/0266/6024/1596/files/logo-liquidationdeals.ca.jpg?v=1601702763	C:/My%20Web%20Sites/https___liquidationdeals.ca_/cdn.shopify.com/s/files/1/0266/6024/1596/files/logo-liquidationdeals.ca56ca.jpg	(from https://liquidationdeals.ca/)
01:04:26	86647/86647	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202022%2015:34:34%20GMT	https://cdn.shopify.com/s/files/1/0266/6024/1596/files/logo-liquidationdeals.ca.jpg?v=1601702763	C:/My%20Web%20Sites/https___liquidationdeals.ca_/cdn.shopify.com/s/files/1/0266/6024/1596/files/logo-liquidationdeals.ca56ca.jpg	(from https://liquidationdeals.ca/)
01:04:27	92261/92261	---MCZ	200	added ('OK')	text/html	etag:cacheable:9a9245aca5ca77c5adbb7c51cf9090fd	https://liquidationdeals.ca/account/login	C:/My%20Web%20Sites/https___liquidationdeals.ca_/liquidationdeals.ca/account/login.html	(from https://liquidationdeals.ca/)
01:04:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Aug%202022%2000:04:29%20GMT	http://cdn.shopify.com/s/files/1/0266/6024/1596/files/logo-website-png_x48.png?v=1608945600	C:/My%20Web%20Sites/https___liquidationdeals.ca_/cdn.shopify.com/s/files/1/0266/6024/1596/files/logo-website-png_x48d2a0.png	(from https://liquidationdeals.ca/)
01:04:29	90555/90555	---MCZ	200	added ('OK')	text/html	etag:cacheable:6682df463bbb1148dc37ce58d356d413	https://liquidationdeals.ca/account/register	C:/My%20Web%20Sites/https___liquidationdeals.ca_/liquidationdeals.ca/account/register.html	(from https://liquidationdeals.ca/)
01:04:29	2399/2399	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Aug%202022%2015:34:34%20GMT	https://cdn.shopify.com/s/files/1/0266/6024/1596/files/logo-website-png_x48.png?v=1608945600	C:/My%20Web%20Sites/https___liquidationdeals.ca_/cdn.shopify.com/s/files/1/0266/6024/1596/files/logo-website-png_x48d2a0.png	(from https://liquidationdeals.ca/)
01:04:30	202609/202609	---MCZ	200	added ('OK')	text/html	etag:cacheable:2faab5197ac909df61053d4956a5dd55	https://liquidationdeals.ca/collections/mixed-appliances-liquidation-pallets	C:/My%20Web%20Sites/https___liquidationdeals.ca_/liquidationdeals.ca/collections/mixed-appliances-liquidation-pallets.html	(from https://liquidationdeals.ca/)
01:04:31	211132/211132	---MCZ	200	added ('OK')	text/html	etag:cacheable:b84d469a0e986de3acf4ef129c8726a2	https://liquidationdeals.ca/collections/high-count-pallets	C:/My%20Web%20Sites/https___liquidationdeals.ca_/liquidationdeals.ca/collections/high-count-pallets.html	(from https://liquidationdeals.ca/)
01:04:31	216696/216696	---MCZ	200	added ('OK')	text/html	etag:cacheable:d292f4f64f800c3d2b2f2559d7d5a23d	https://liquidationdeals.ca/collections/amz-bulk-pallets	C:/My%20Web%20Sites/https___liquidationdeals.ca_/liquidationdeals.ca/collections/amz-bulk-pallets.html	(from https://liquidationdeals.ca/)
01:04:32	109303/109303	---MCZ	200	added ('OK')	text/html	etag:cacheable:77e65ef7c052642c753c3401d5995e5a	https://liquidationdeals.ca/collections/amazon-usa-bulk/Food+drinks-and-health-and-beauty	C:/My%20Web%20Sites/https___liquidationdeals.ca_/liquidationdeals.ca/collections/amazon-usa-bulk/Food+drinks-and-health-and-beauty.html	(from https://liquidationdeals.ca/)
01:04:33	209720/209720	---MCZ	200	added ('OK')	text/html	etag:cacheable:ad1deb6c049531e837c3d03f06dfaf52	https://liquidationdeals.ca/collections/amazon-mega-pallets	C:/My%20Web%20Sites/https___liquidationdeals.ca_/liquidationdeals.ca/collections/amazon-mega-pallets.html	(from https://liquidationdeals.ca/)
01:04:33	110686/110686	---MCZ	200	added ('OK')	text/html	etag:cacheable:11d210709059e7819bda49e7943c1941	https://liquidationdeals.ca/collections/manifested-liquidation-pallets-top-us-retailer/walmart	C:/My%20Web%20Sites/https___liquidationdeals.ca_/liquidationdeals.ca/collections/manifested-liquidation-pallets-top-us-retailer/walmart.html	(from https://liquidationdeals.ca/)
01:04:34	92535/92535	---MCZ	200	added ('OK')	text/html	etag:cacheable:680b8eb851361a5da2efeab8ab190c3b	https://liquidationdeals.ca/pages/contact-us	C:/My%20Web%20Sites/https___liquidationdeals.ca_/liquidationdeals.ca/pages/contact-us.html	(from https://liquidationdeals.ca/)
01:04:35	213488/213488	---MCZ	200	added ('OK')	text/html	etag:cacheable:9a6f5bec93257ff84d6149a503eeeb59	https://liquidationdeals.ca/collections/all	C:/My%20Web%20Sites/https___liquidationdeals.ca_/liquidationdeals.ca/collections/all.html	(from https://liquidationdeals.ca/)
01:04:35	0/0	---MC-	302	error ('Found')	text/html	date:Wed,%2024%20Aug%202022%2000:04:35%20GMT	https://liquidationdeals.ca/checkout	C:/My%20Web%20Sites/https___liquidationdeals.ca_/liquidationdeals.ca/checkout	(from https://liquidationdeals.ca/)
01:04:35	0/0	---MC-	302	error ('Found')	text/html	date:Wed,%2024%20Aug%202022%2000:04:36%20GMT	https://liquidationdeals.ca/checkouts/c/bc4d88c90f989aedff7e4cf24b31a01f	C:/My%20Web%20Sites/https___liquidationdeals.ca_/liquidationdeals.ca/checkouts/c/bc4d88c90f989aedff7e4cf24b31a01f	(from https://liquidationdeals.ca/)
